[0.000000] (-) TimerEvent: {}
[0.000769] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000862] (-) JobUnselected: {'identifier': 'action_tutorials_interfaces'}
[0.000925] (-) JobUnselected: {'identifier': 'action_tutorials_py'}
[0.000987] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.001047] (-) JobUnselected: {'identifier': 'camera_calibration_parsers'}
[0.001106] (-) JobUnselected: {'identifier': 'camera_info_manager'}
[0.001172] (-) JobUnselected: {'identifier': 'camera_info_manager_py'}
[0.001277] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.001331] (-) JobUnselected: {'identifier': 'composition'}
[0.001382] (-) JobUnselected: {'identifier': 'cv_bridge'}
[0.001430] (-) JobUnselected: {'identifier': 'demo_nodes_cpp'}
[0.001478] (-) JobUnselected: {'identifier': 'demo_nodes_cpp_native'}
[0.001525] (-) JobUnselected: {'identifier': 'demo_nodes_py'}
[0.001573] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.001620] (-) JobUnselected: {'identifier': 'dummy_map_server'}
[0.001667] (-) JobUnselected: {'identifier': 'dummy_robot_bringup'}
[0.001714] (-) JobUnselected: {'identifier': 'dummy_sensors'}
[0.001761] (-) JobUnselected: {'identifier': 'image_common'}
[0.001808] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.001878] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.001925] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001972] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.002018] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.002064] (-) JobUnselected: {'identifier': 'image_tools'}
[0.002110] (-) JobUnselected: {'identifier': 'image_transport'}
[0.002156] (-) JobUnselected: {'identifier': 'image_view'}
[0.002203] (-) JobUnselected: {'identifier': 'intra_process_demo'}
[0.002249] (-) JobUnselected: {'identifier': 'lifecycle'}
[0.002295] (-) JobUnselected: {'identifier': 'lifecycle_py'}
[0.002341] (-) JobUnselected: {'identifier': 'logging_demo'}
[0.002386] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.002432] (-) JobUnselected: {'identifier': 'pendulum_control'}
[0.002478] (-) JobUnselected: {'identifier': 'pendulum_msgs'}
[0.002525] (-) JobUnselected: {'identifier': 'qt_dotgraph'}
[0.002570] (-) JobUnselected: {'identifier': 'qt_gui'}
[0.002615] (-) JobUnselected: {'identifier': 'qt_gui_app'}
[0.002661] (-) JobUnselected: {'identifier': 'qt_gui_core'}
[0.002708] (-) JobUnselected: {'identifier': 'qt_gui_cpp'}
[0.002753] (-) JobUnselected: {'identifier': 'qt_gui_py_common'}
[0.002799] (-) JobUnselected: {'identifier': 'quality_of_service_demo_cpp'}
[0.002845] (-) JobUnselected: {'identifier': 'quality_of_service_demo_py'}
[0.002891] (-) JobUnselected: {'identifier': 'rqt'}
[0.003091] (-) JobUnselected: {'identifier': 'rqt_gui'}
[0.003143] (-) JobUnselected: {'identifier': 'rqt_gui_cpp'}
[0.003189] (-) JobUnselected: {'identifier': 'rqt_gui_py'}
[0.003235] (-) JobUnselected: {'identifier': 'rqt_image_view'}
[0.003281] (-) JobUnselected: {'identifier': 'rqt_py_common'}
[0.003327] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.003372] (-) JobUnselected: {'identifier': 'topic_monitor'}
[0.003418] (-) JobUnselected: {'identifier': 'topic_statistics_demo'}
[0.003463] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.003509] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.003562] (stamp_and_split_cam1) JobQueued: {'identifier': 'stamp_and_split_cam1', 'dependencies': OrderedDict([('cv_bridge', '/home/pi4/camera_ws/install/cv_bridge')])}
[0.004135] (stamp_and_split_cam1) JobStarted: {'identifier': 'stamp_and_split_cam1'}
[0.099080] (-) TimerEvent: {}
[0.108071] (stamp_and_split_cam1) JobEnded: {'identifier': 'stamp_and_split_cam1', 'rc': 1}
[0.119890] (-) EventReactorShutdown: {}
